vuln_id,whitelist,package,version_local,version_local_regex,version_nixpkgs,version_upstream,comment,review_comment
CVE-2024-9410,True,ada,4.0.0,,4.0.0,4.0.0,https://nvd.nist.gov/vuln/detail/CVE-2024-9410,"Incorrect package: CVE affects Ada.cx Sentry configuration, not the Ada URL parser package."
CVE-2018-13162,True,alex,3.5.4.2,,3.5.4.2,3.5.4.2,https://nvd.nist.gov/vuln/detail/CVE-2018-13162,"Incorrect package: CVE affects an Ethereum token contract named ALEX, not the Haskell Alex lexer generator."
CVE-2021-43138,True,async,2.2.6,,2.2.6,2.2.6,https://nvd.nist.gov/vuln/detail/CVE-2021-43138,"Incorrect package: CVE affects the npm async package, not the Haskell async package."
CVE-2025-69649,True,binutils,2.46,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L45,Build-time-only derivation: absent from the installed dogfood scanner's runtime closure.
CVE-2025-69650,True,binutils,2.46,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L45,Build-time-only derivation: absent from the installed dogfood scanner's runtime closure.
CVE-2025-69651,True,binutils,2.46,,2.46,2.47,https://nvd.nist.gov/vuln/detail/CVE-2025-69651,False positive: the CVE is disputed because the behavior occurred only in prerelease code and did not affect any tagged release.
CVE-2025-69652,True,binutils,2.46,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L45,Build-time-only derivation: absent from the installed dogfood scanner's runtime closure.
CVE-2026-6846,True,binutils,2.46,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L45,Build-time-only derivation: absent from the installed dogfood scanner's runtime closure.
CVE-2026-3441,True,binutils,2.47,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L144,False positive: Binutils 2.47 or newer in the 2.x line is past the 2.46/2.46.1 affected/fixed line for this CVE set.
CVE-2026-3442,True,binutils,2.47,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L144,False positive: Binutils 2.47 or newer in the 2.x line is past the 2.46/2.46.1 affected/fixed line for this CVE set.
CVE-2026-4647,True,binutils,2.47,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L144,False positive: Binutils 2.47 or newer in the 2.x line is past the 2.46/2.46.1 affected/fixed line for this CVE set.
CVE-2026-6844,True,binutils,2.47,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L144,Build-time-only derivation: absent from the installed dogfood scanner's runtime closure.
CVE-2026-6845,True,binutils,2.47,,2.46,2.47,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L144,Build-time-only derivation: absent from the installed dogfood scanner's runtime closure.
CVE-2026-56389,True,bison,3.8.2,,3.8.2,3.8.2,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L30,Build-time-only derivation: absent from the installed dogfood scanner's runtime closure.
CVE-2026-56390,True,bison,3.8.2,,3.8.2,3.8.2,https://github.com/tiiuae/ghaf/blob/c6a22b335f38adcffe6b609bc99d140a0aa3967a/.github/flakevuln/manual_analysis.csv?plain=1#L30,Build-time-only derivation: absent from the installed dogfood scanner's runtime closure.
CVE-2009-3654,True,boost,1.89.0,,,,https://nvd.nist.gov/vuln/detail/CVE-2009-3654,Incorrect package: NVD describes the Drupal Boost module before 6.x-1.03; this is the unrelated C++ Boost library 1.89.0.
OSV-2024-112,False,boost,1.89.0,,,,https://osv.dev/vulnerability/OSV-2024-112,Correct Boost package. OSV explicitly lists 1.89.0 as affected and records no fixed event; the library is in the scanner runtime closure. Keep active. Source: https://osv.dev/vulnerability/OSV-2024-112.
OSV-2024-914,False,boost,1.89.0,,,,https://osv.dev/vulnerability/OSV-2024-914,Correct Boost package. OSV explicitly lists 1.89.0 as affected and records no fixed event; the library is in the scanner runtime closure. Keep active. Source: https://osv.dev/vulnerability/OSV-2024-914.
CVE-2024-58251,False,busybox,1.37.0,,,,https://www.cve.org/CVERecord?id=CVE-2024-58251,"Correct BusyBox package. CNA affected range is through 1.37.0, including this runtime derivation; its patches do not address this CVE. Keep active. Source: https://www.cve.org/CVERecord?id=CVE-2024-58251."
